filename,activity,X_mean,X_std,X_min,X_max,X_range,Y_mean,Y_std,Y_min,Y_max,Y_range,Z_mean,Z_std,Z_min,Z_max,Z_range,,,,,,,,,,
76_20260907162536.csv,1,0.000162964,0.001053747,-0.000854492,0.001922607,0.0027771,-0.988223267,0.002605599,-0.992034912,-0.984909058,0.007125854,-0.120404663,0.001089203,-0.122695923,-0.119171143,0.00352478,,,,,,,,,,
77_20260907162549.csv,1,-0.00021553,0.000520208,-0.001022339,0.000335693,0.001358032,-0.988227844,0.000845512,-0.989395142,-0.987258911,0.00213623,-0.120939255,0.001276525,-0.122695923,-0.118927002,0.003768921,,,,,,,,,,
78_20260907162601.csv,1,0.000161133,0.00128985,-0.001541138,0.001495361,0.003036499,-0.987975464,0.000479024,-0.988494873,-0.987350464,0.001144409,-0.121359863,0.001321678,-0.12348938,-0.119873047,0.003616333,,,,,,,,,,
79_20260907162613.csv,1,0.000392914,0.000965913,-0.000595093,0.001617432,0.002212524,-0.988057454,0.000818881,-0.989212036,-0.987060547,0.002151489,-0.120377858,0.000651318,-0.12121582,-0.119522095,0.001693726,,,,,,,,,,
80_20260907162626.csv,1,0.000151978,0.000568539,-0.000366211,0.001617432,0.001983643,-0.988267212,0.000373319,-0.988815308,-0.987869263,0.000946045,-0.120900879,0.000858738,-0.121490479,-0.119415283,0.002075195,,,,,,,,,,
81_20260907162638.csv,1,0.000263214,0.000550573,-0.000366211,0.000961304,0.001327515,-0.987832387,0.000135206,-0.987976074,-0.987640381,0.000335693,-0.120563507,0.000595003,-0.120986938,-0.119567871,0.001419067,,,,,,,,,,
82_20260907162650.csv,1,0.000284424,0.00076048,-0.000747681,0.00088501,0.00163269,-0.98798584,0.000498153,-0.988616943,-0.98739624,0.001220703,-0.120496216,0.00065903,-0.121139526,-0.119491577,0.001647949,,,,,,,,,,
83_20260907162702.csv,1,-5.21E-05,0.000465242,-0.000457764,0.00088501,0.001342773,-0.987934748,0.000211215,-0.98815918,-0.987640381,0.000518799,-0.120420456,0.000590222,-0.121490479,-0.119766235,0.001724243,,,,,,,,,,
84_20260907162715.csv,1,-0.000283203,0.000617951,-0.001205444,0.000686646,0.00189209,-0.987042847,0.000582899,-0.988433838,-0.986434937,0.001998901,-0.120765381,0.000437547,-0.121490479,-0.120193481,0.001296997,,,,,,,,,,
85_20260907162727.csv,1,-0.00077184,0.000734367,-0.001358032,0.000839233,0.002197266,-0.98796463,0.000640525,-0.988616943,-0.987091064,0.001525879,-0.12033844,0.001021898,-0.12197876,-0.119277954,0.002700806,,,,,,,,,,
